1,5x5,10,normal,0.0006639800003540586,285,60,2
2,5x5,11,normal,0.00028038300024491036,295,60,1
3,5x5,9,normal,0.0002310919999217731,283,60,1
4,5x5,12,normal,0.0002933570003733621,304,60,1
5,5x5,15,normal,0.0002655059997778153,322,60,1
6,5x5,7,normal,0.0006690100008199806,270,60,4
7,5x5,9,normal,0.0003872929992212448,282,60,2
8,5x5,13,normal,0.00028410100003384287,309,60,1
9,5x5,13,normal,0.00025828200068644946,306,60,1
10,5x5,11,normal,0.00021342799936974188,296,60,1
1,5x5,12,hard,0.0002561880000939709,306,60,1
2,5x5,9,hard,0.00022155399983603274,286,60,1
3,5x5,11,hard,0.0002699939996091416,298,60,1
4,5x5,10,hard,0.00028929000018251827,292,60,1
5,5x5,14,hard,0.0002659370002220385,321,60,1
6,5x5,16,hard,0.00024132099952112185,333,60,1
7,5x5,15,hard,0.0002330450006411411,330,60,1
8,5x5,13,hard,0.00022768500002712244,318,60,1
9,5x5,12,hard,0.00026083700049639447,307,60,1
10,5x5,13,hard,0.0002593239996713237,313,60,1
1,7x7,21,normal,0.0006315589998848736,573,112,3
2,7x7,18,normal,0.0006894869993629982,550,112,3
3,7x7,26,normal,0.00035608500002126675,607,112,1
4,7x7,25,normal,0.0010968870010401588,600,112,5
5,7x7,19,normal,0.004727967000690114,584,112,24
6,7x7,24,normal,0.0016174920001503779,605,112,9
7,7x7,25,normal,0.0005341969999790308,604,112,2
8,7x7,22,normal,0.0031012320005174843,606,112,20
9,7x7,18,normal,0.011165266000716656,625,112,73
10,7x7,28,normal,0.0003389229996173526,617,112,1
1,7x7,24,hard,0.0016898219992071972,608,112,9
2,7x7,21,hard,0.00035868000031769043,578,112,1
3,7x7,18,hard,0.0016962680001597619,560,112,9
4,7x7,24,hard,0.0003549530001691892,599,112,1
5,7x7,22,hard,0.0003653620005934499,583,112,1
6,7x7,21,hard,0.0015350359990407014,588,112,8
7,7x7,24,hard,0.002367861001403071,612,112,12
8,7x7,22,hard,0.0038522129971170216,603,112,18
9,7x7,23,hard,0.0008874160002960707,591,112,4
10,7x7,27,hard,0.00035335000029590447,620,112,1
1,10x10,45,normal,0.003338330001497525,1189,220,6
2,10x10,47,normal,0.0010055769998871256,1195,220,1
3,10x10,48,normal,0.0037378089991761954,1217,220,10
4,10x10,56,normal,0.0007101359997250256,1267,220,1
5,10x10,53,normal,0.0014967949991842033,1244,220,3
6,10x10,48,normal,0.04541628899733041,1388,220,173
7,10x10,43,normal,0.05425041400212649,1303,220,128
8,10x10,51,normal,0.061275360999388795,1438,220,204
9,10x10,55,normal,0.0022350929993990576,1263,220,6
10,10x10,52,normal,0.00856686600309331,1261,220,25
1,10x10,44,hard,0.02178516400817898,1240,220,64
2,10x10,41,hard,0.13348799499817687,1554,220,385
3,10x10,50,hard,0.001606118999006867,1232,220,2
4,10x10,47,hard,0.0011231969992877566,1210,220,2
5,10x10,43,hard,0.2982048650019351,2022,220,846
6,10x10,37,hard,0.11247421600455709,1544,220,413
7,10x10,46,hard,0.0011815150000984431,1199,220,2
8,10x10,45,hard,0.051284007003232546,1374,220,181
9,10x10,35,hard,0.40641604698703304,2192,220,1069
10,10x10,36,hard,0.01920199899996078,1193,220,64
1,15x15,115,normal,0.19259448600496398,3125,480,356
2,15x15,112,normal,0.04025639399787906,2807,480,61
3,15x15,130,normal,0.006500657000287902,2865,480,8
4,15x15,114,normal,0.0046870610012774705,2766,480,5
5,15x15,107,normal,18.850952392947875,17339,480,14623
6,15x15,121,normal,0.03520636800203647,2865,480,52
7,15x15,107,normal,2.7850754010396486,6142,480,3433
8,15x15,100,normal,0.11823149700376234,2871,480,219
9,15x15,101,normal,0.15305073899617128,2916,480,252
10,15x15,108,normal,0.040822699998898315,2793,480,78
1,15x15,106,hard,0.004430922999745235,2716,480,4
2,15x15,106,hard,30,0,0,0
3,15x15,106,hard,30,0,0,0
4,15x15,106,hard,30,0,0,0
5,15x15,106,hard,30,0,0,0
6,15x15,106,hard,30,0,0,0
7,15x15,106,hard,30,0,0,0
8,15x15,106,hard,30,0,0,0
9,15x15,106,hard,30,0,0,0
10,15x15,106,hard,30,0,0,0
